run,lumisection,title,data
297050,60,adc_PXDisk_-1,"[0.0, 2705.0, 7696.0, 18932.0, 81033.0, 177789.0, 369216.0, 252941.0, 324754.0, 227838.0, 243524.0, 143435.0, 171163.0, 142362.0, 156419.0, 98781.0, 106751.0, 104357.0, 98109.0, 65645.0, 76217.0, 57229.0, 62386.0, 37846.0, 40153.0, 38910.0, 36310.0, 22019.0, 26048.0, 20674.0, 22491.0, 15020.0, 229932.0, 0.0]"
297050,61,adc_PXDisk_-1,"[0.0, 2491.0, 7349.0, 17977.0, 78092.0, 169929.0, 349814.0, 237654.0, 303782.0, 213498.0, 226826.0, 134330.0, 160617.0, 133419.0, 145750.0, 92126.0, 99285.0, 98395.0, 90830.0, 61230.0, 71263.0, 53222.0, 57469.0, 35246.0, 37273.0, 36289.0, 33614.0, 20652.0, 24064.0, 19555.0, 20517.0, 13777.0, 214333.0, 0.0]"
297050,62,adc_PXDisk_-1,"[0.0, 2748.0, 7400.0, 17895.0, 78134.0, 173373.0, 360797.0, 247049.0, 318931.0, 223795.0, 237367.0, 141185.0, 168501.0, 140156.0, 152453.0, 97221.0, 105174.0, 102235.0, 95641.0, 64799.0, 74686.0, 55933.0, 60463.0, 36655.0, 39005.0, 38048.0, 35569.0, 21709.0, 25368.0, 20097.0, 21716.0, 14541.0, 222787.0, 0.0]"
297050,63,adc_PXDisk_-1,"[0.0, 2671.0, 7523.0, 18157.0, 79122.0, 176942.0, 368201.0, 252969.0, 324863.0, 227190.0, 242780.0, 143860.0, 172244.0, 142877.0, 154814.0, 98018.0, 106164.0, 104283.0, 97119.0, 65724.0, 75976.0, 56365.0, 61089.0, 37299.0, 39816.0, 39063.0, 35745.0, 22166.0, 26218.0, 20792.0, 22220.0, 14770.0, 229081.0, 0.0]"
297050,64,adc_PXDisk_-1,"[0.0, 3015.0, 8243.0, 19696.0, 85774.0, 190077.0, 398723.0, 275498.0, 357015.0, 250599.0, 268508.0, 157298.0, 188007.0, 156777.0, 170585.0, 107762.0, 116532.0, 114402.0, 106756.0, 71597.0, 83128.0, 61254.0, 67619.0, 40784.0, 43714.0, 42506.0, 39590.0, 23822.0, 28542.0, 22875.0, 24021.0, 16278.0, 251559.0, 0.0]"
297050,65,adc_PXDisk_-1,"[0.0, 3081.0, 8254.0, 19835.0, 85382.0, 188823.0, 394439.0, 272343.0, 352317.0, 247206.0, 265433.0, 155341.0, 185993.0, 153524.0, 168287.0, 106304.0, 115737.0, 112399.0, 105789.0, 70616.0, 82108.0, 60806.0, 66744.0, 40604.0, 42959.0, 41790.0, 39419.0, 23689.0, 28218.0, 22403.0, 24163.0, 16080.0, 249378.0, 0.0]"
297050,66,adc_PXDisk_-1,"[0.0, 3004.0, 8323.0, 20072.0, 87082.0, 193132.0, 404269.0, 277808.0, 361744.0, 253963.0, 272103.0, 159506.0, 192136.0, 158362.0, 173327.0, 109762.0, 119066.0, 116329.0, 108648.0, 72805.0, 84292.0, 62777.0, 68652.0, 41370.0, 44668.0, 43206.0, 39963.0, 24024.0, 28660.0, 23253.0, 24499.0, 16462.0, 254188.0, 0.0]"
297050,67,adc_PXDisk_-1,"[0.0, 3273.0, 8377.0, 19971.0, 86345.0, 191128.0, 398139.0, 274218.0, 355403.0, 248651.0, 266364.0, 156711.0, 187312.0, 155496.0, 169130.0, 107122.0, 115903.0, 114028.0, 106435.0, 71569.0, 82638.0, 61206.0, 66921.0, 40567.0, 43539.0, 42261.0, 38797.0, 23673.0, 28393.0, 22821.0, 23961.0, 16036.0, 253448.0, 0.0]"
297050,68,adc_PXDisk_-1,"[0.0, 2979.0, 8080.0, 19602.0, 84787.0, 187577.0, 391485.0, 270859.0, 351039.0, 245953.0, 262673.0, 155024.0, 185551.0, 153748.0, 168717.0, 107064.0, 114699.0, 112492.0, 105447.0, 70024.0, 81624.0, 60993.0, 66624.0, 40104.0, 42746.0, 41905.0, 38519.0, 23348.0, 27863.0, 22571.0, 23462.0, 15706.0, 245503.0, 0.0]"
297050,103,adc_PXDisk_-1,"[0.0, 3095.0, 8002.0, 19571.0, 84457.0, 188043.0, 391372.0, 268237.0, 347644.0, 244423.0, 260627.0, 153279.0, 183925.0, 152716.0, 166745.0, 105409.0, 113727.0, 111831.0, 104304.0, 69847.0, 81317.0, 60440.0, 65610.0, 39897.0, 42187.0, 41392.0, 38486.0, 23093.0, 27805.0, 22141.0, 23693.0, 15626.0, 245886.0, 0.0]"
